Firma,Belge Tipi,Belge Numarası,KalemNo,Belge Tarihi,İş Alanı,Müşteri,Müşteri Adı,M.Grp,Ülke,Malzeme,Malzeme Adı,Malzeme Satınalma Açıklaması,Miktar,Miktar Br.,Marka,Malzeme Tipi,Mlz.Grb.,Satış Departmanı,Ciro Tutarı,Net Ciro,Stok Fiyatı,Ek Maliyetler,İndirim/Artırım, Fiyat Farkı,İade Stok Fiyatı,Değer İade,Miktar İade,Kar-Zarar,P. Br.,Seçenek Açıklaması,Tesis,Oran%
01,F1,00440941,10,02.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"8,258.90","5,781.23","5,050.29",0.00,"-2,477.67",0.00,0.00,0.00,0.00,730.94,TL,,99,14.47
01,F1,00441472,10,09.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,25.000,AD,MAG,PF,PFF,RGR,"20,647.25","14,453.07","12,513.69",0.00,"-6,194.18",0.00,0.00,0.00,0.00,"1,939.38",TL,,99,15.50
01,F1,00441911,10,12.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,9.000,AD,MAG,PF,PFF,RGR,"7,433.01","5,203.11","4,478.35",0.00,"-2,229.90",0.00,0.00,0.00,0.00,724.76,TL,,99,16.18
01,F1,00442318,15,18.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,25.000,AD,MAG,PF,PFF,RGR,"20,647.25","14,453.07","12,432.37",0.00,"-6,194.18",0.00,0.00,0.00,0.00,"2,020.70",TL,,99,16.25
01,F1,00443056,10,29.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,MKN,"8,258.90","5,781.23","4,971.21",0.00,"-2,477.67",0.00,0.00,0.00,0.00,810.02,TL,,99,16.29
01,F1,00443154,10,30.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,40.000,AD,MAG,PF,PFF,MKN,"33,035.60","23,124.92","19,850.40",0.00,"-9,910.68",0.00,0.00,0.00,0.00,"3,274.52",TL,,99,16.50
01,F1,00443195,10,30.01.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"8,258.90","5,781.23","4,962.60",0.00,"-2,477.67",0.00,0.00,0.00,0.00,818.63,TL,,99,16.50
01,F1,00446932,10,14.03.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","4,957.08",0.00,"-2,973.18",0.00,0.00,0.00,0.00,"1,980.34",TL,,99,39.95
01,F1,00447128,10,18.03.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","5,281.17",0.00,"-2,973.18",0.00,0.00,0.00,0.00,"1,656.25",TL,,99,31.36
01,F1,00447717,10,25.03.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,MKN,"9,910.60","6,937.42","5,281.17",0.00,"-2,973.18",0.00,0.00,0.00,0.00,"1,656.25",TL,,99,31.36
01,F1,00449563,10,22.04.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,15.000,AD,MAG,PF,PFF,MKN,"14,865.90","10,406.13","8,580.40",0.00,"-4,459.77",0.00,0.00,0.00,0.00,"1,825.73",TL,,99,21.28
01,F1,00449611,10,24.04.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,20.000,AD,MAG,PF,PFF,MKN,"19,821.20","13,874.84","11,626.35",0.00,"-5,946.36",0.00,0.00,0.00,0.00,"2,248.49",TL,,99,19.34
01,F1,00449712,10,25.04.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,15.000,AD,MAG,PF,PFF,RGR,"14,865.90","10,406.13","8,776.31",0.00,"-4,459.77",0.00,0.00,0.00,0.00,"1,629.82",TL,,99,18.57
01,F1,00452849,10,31.05.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,50.000,AD,MAG,PF,PFF,MKN,"49,553.00","34,687.10","29,573.51",0.00,"-14,865.90",0.00,0.00,0.00,0.00,"5,113.59",TL,,99,17.29
01,F1,00452850,10,31.05.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","5,920.37",0.00,"-2,973.18",0.00,0.00,0.00,0.00,"1,017.05",TL,,99,17.18
01,F1,00454506,10,01.07.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","6,130.36",0.00,"-2,973.18",0.00,0.00,0.00,0.00,807.06,TL,,99,13.16
01,F1,00456464,20,25.07.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","6,130.36",0.00,"-2,973.18",0.00,0.00,0.00,0.00,807.06,TL,,99,13.16
01,F1,00458279,10,15.08.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,8.000,AD,MAG,PF,PFF,MKN,"7,928.48","5,549.94","4,904.29",0.00,"-2,378.54",0.00,0.00,0.00,0.00,645.65,TL,,99,13.17
01,F1,00458483,10,16.08.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,7.000,AD,MAG,PF,PFF,MKN,"6,937.42","4,856.19","4,291.25",0.00,"-2,081.23",0.00,0.00,0.00,0.00,564.94,TL,,99,13.16
01,F1,00459627,10,03.09.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,12.000,AD,MAG,PF,PFF,MKN,"11,892.72","8,324.90","7,242.03",0.00,"-3,567.82",0.00,0.00,0.00,0.00,"1,082.87",TL,,99,14.95
01,F1,00459627,20,03.09.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,3.000,AD,MAG,PF,PFF,MKN,"2,973.18","2,081.23","1,810.51",0.00,-891.95,0.00,0.00,0.00,0.00,270.72,TL,,99,14.95
01,F1,00460523,10,13.09.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,50.000,AD,MAG,PF,PFF,MKN,"49,553.00","34,687.10","29,731.20",0.00,"-14,865.90",0.00,0.00,0.00,0.00,"4,955.90",TL,,99,16.67
01,F1,00463705,10,22.10.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,8.000,AD,MAG,PF,PFF,RGR,"7,928.48","5,549.94","4,875.63",0.00,"-2,378.54",0.00,0.00,0.00,0.00,674.31,TL,,99,13.83
01,F1,00463940,20,24.10.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,40.000,AD,MAG,PF,PFF,RGR,"39,642.40","27,749.68","24,003.01",0.00,"-11,892.72",0.00,0.00,0.00,0.00,"3,746.67",TL,,99,15.61
01,F1,00466603,10,29.11.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","5,984.77",0.00,"-2,973.18",0.00,0.00,0.00,0.00,952.65,TL,,99,15.92
01,F1,00466772,10,03.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,RGR,"9,910.60","6,937.42","5,966.91",0.00,"-2,973.18",0.00,0.00,0.00,0.00,970.51,TL,,99,16.26
01,F1,00467485,10,10.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,MKN,"12,090.90","8,463.63","5,966.91",0.00,"-3,627.27",0.00,0.00,0.00,0.00,"2,496.72",TL,,99,41.84
01,F1,00467564,10,11.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,MKN,"12,090.90","8,463.63","6,382.28",0.00,"-3,627.27",0.00,0.00,0.00,0.00,"2,081.35",TL,,99,32.61
01,F1,00468721,10,25.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,10.000,AD,MAG,PF,PFF,MKN,"12,090.90","8,463.63","6,745.70",0.00,"-3,627.27",0.00,0.00,0.00,0.00,"1,717.93",TL,,99,25.47
01,F1,00468897,10,27.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0002,F   1/2   FİLTRE MAG,01001002,9.000,AD,MAG,PF,PFF,RGR,"10,881.81","7,617.27","6,071.13",0.00,"-3,264.54",0.00,0.00,0.00,0.00,"1,546.14",TL,,99,25.47
01,F1,00445038,10,21.02.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0003,F   1      FİLTRE MAG,01001003,10.000,AD,MAG,PF,PFF,RGR,"25,246.30","17,672.41","15,205.87",0.00,"-7,573.89",0.00,0.00,0.00,0.00,"2,466.54",TL,,99,16.22
01,F1,00468824,10,26.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0003,F   1      FİLTRE MAG,01001003,5.000,AD,MAG,PF,PFF,MKN,"18,480.20","12,936.14","10,130.76",0.00,"-5,544.06",0.00,0.00,0.00,0.00,"2,805.38",TL,,99,27.69
01,F1,00444159,10,12.02.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0005,F  1/2   FİLTRE OTO.TAHLİYELİ MAG,01001022,10.000,AD,MAG,PF,PFF,MKN,"14,917.80","10,442.46","8,950.68",0.00,"-4,475.34",0.00,0.00,0.00,0.00,"1,491.78",TL,,99,16.67
01,F1,00450440,10,03.05.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0007,F   1     FİLTRE OTO.TAHLİYELİ MAG,01001032,1.000,AD,MAG,PF,PFF,RGR,"3,828.61","2,680.03","2,297.17",0.00,"-1,148.58",0.00,0.00,0.00,0.00,382.86,TL,,99,16.67
01,F1,00449711,10,25.04.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0011,MF 1/2 FİLTRE MAG,01001131,5.000,AD,MAG,PF,PFF,RGR,"6,010.25","4,207.17","3,312.91",0.00,"-1,803.08",0.00,0.00,0.00,0.00,894.26,TL,,99,26.99
01,F1,00457275,10,02.08.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0011,MF 1/2 FİLTRE MAG,01001131,5.000,AD,MAG,PF,PFF,RGR,"6,010.25","4,207.17","3,643.90",0.00,"-1,803.08",0.00,0.00,0.00,0.00,563.27,TL,,99,15.46
01,F1,00463289,20,16.10.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0018,CKD FİLTRE 1/2  F-4000,F4000-15G-W,1.000,AD,CKD,PF,PFF,MKN,"1,583.98","1,108.79",310.99,0.00,-475.19,0.00,0.00,0.00,0.00,797.80,TL,,99,256.54
01,F3,00447130,20,18.03.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0019,CKD FİLTRE 1/2 OTM.TAHLİYE  F-4000,F4000-15G-W-F1,2.000,AD,CKD,PF,PFF,RGR,"4,940.12","3,458.08","1,162.35",0.00,"-1,482.04",0.00,0.00,0.00,0.00,"2,295.73",TL,,99,197.51
01,F3,00453056,10,04.06.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0019,CKD FİLTRE 1/2 OTM.TAHLİYE  F-4000,F4000-15G-W-F1,4.000,AD,CKD,PF,PFF,RGR,"9,848.43","6,893.90","2,324.71",0.00,"-2,954.53",0.00,0.00,0.00,0.00,"4,569.19",TL,,99,196.55
01,F3,00455763,10,17.07.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0019,CKD FİLTRE 1/2 OTM.TAHLİYE  F-4000,F4000-15G-W-F1,2.000,AD,CKD,PF,PFF,RGR,"5,083.47","3,558.43","1,202.38",0.00,"-1,525.04",0.00,0.00,0.00,0.00,"2,356.05",TL,,99,195.95
01,F3,00459456,10,02.09.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0019,CKD FİLTRE 1/2 OTM.TAHLİYE  F-4000,F4000-15G-W-F1,2.000,AD,CKD,PF,PFF,RGR,"5,321.37","3,724.96","1,202.38",0.00,"-1,596.41",0.00,0.00,0.00,0.00,"2,522.58",TL,,99,209.80
01,F3,00463884,10,23.10.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0019,CKD FİLTRE 1/2 OTM.TAHLİYE  F-4000,F4000-15G-W-F1,1.000,AD,CKD,PF,PFF,RGR,"2,613.45","1,829.42",615.92,0.00,-784.03,0.00,0.00,0.00,0.00,"1,213.50",TL,,99,197.02
01,F3,00467288,10,06.12.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0019,CKD FİLTRE 1/2 OTM.TAHLİYE  F-4000,F4000-15G-W-F1,1.000,AD,CKD,PF,PFF,RGR,"2,578.85","1,805.20",616.05,0.00,-773.65,0.00,0.00,0.00,0.00,"1,189.15",TL,,99,193.03
01,F3,00446407,10,07.03.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0760,"CKD SEPARATOR 1/2"" OTM.TAH. FX1011",FX1011-15G-W-F1,1.000,AD,CKD,PF,PFF,MKN,"3,175.66","2,222.96",403.82,0.00,-952.70,0.00,0.00,0.00,0.00,"1,819.14",TL,,99,450.48
01,F3,00447130,10,18.03.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10A0760,"CKD SEPARATOR 1/2"" OTM.TAH. FX1011",FX1011-15G-W-F1,1.000,AD,CKD,PF,PFF,RGR,"3,226.84","2,258.79",403.82,0.00,-968.05,0.00,0.00,0.00,0.00,"1,854.97",TL,,99,459.36
01,F1,00443696,20,06.02.2024 00:00:00,34,102892,İHSAN KOÇAK MAKİNA SAN.VE TİC. A.Ş.,06,TR,10B0042,"R -1/2 P1= 16 BAR (P2=0,5-10)BAR REGÜLATÖR  MAG",01002002,10.000,AD,MAG,PF,PFR,MKN,"11,782.30","8,247.61","6,972.53",0.00,"-3,534.69",0.00,0.00,0.00,0.00,"1,275.08",TL,,99,18.29
