Malzeme,Malzeme Açıklaması,Satınalma Açık.,Dönem Başı Miktar,Dönem Başı Tutar,Dönem Giriş Miktar,Dönem Giriş Tutar,Dönem Çıkış Miktar,Dönem Çıkış Tutar,Dönem Miktar,Dönem Tutar,Dönem Sonu Miktar,Dönem Sonu Tutar,Marka,depo
10A0001,F   1/4   FİLTRE MAG,1001001,13,"2,073.80",41,"7,034.68",40,"6,664.35",1,370.33,14,"2,444.13",MAG,MERKEZ
10A0002,F   1/2   FİLTRE MAG,1001002,38,"19,191.09",675,"389,991.61",701,"400,993.16",-26,"-11,001.55",12,"8,189.54",MAG,MERKEZ
10A0003,F   1      FİLTRE MAG,1001003,12,"18,330.75",99,"179,028.23",105,"185,059.88",-6,"-6,031.66",6,"12,299.09",MAG,MERKEZ
10A0004,F    3/8 FİLİTRE MAG,1001021,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10A0005,F  1/2   FİLTRE OTO.TAHLİYELİ MAG,1001022,0,-0.01,10,"8,950.68",10,"8,950.68",0,0,0,-0.01,MAG,MERKEZ
10A0006,F   3/4  FİLTRE MAG,1001031,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10A0007,F   1     FİLTRE OTO.TAHLİYELİ MAG,1001032,0,0,1,"2,297.17",1,"2,297.17",0,0,0,0,MAG,MERKEZ
10A0008,F   3/4  FİLTRE OTO.TAHLİYELİ MAG,1001033,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10A0009,MF 1/4 FİLTRE MAG,1001111,18,"4,321.78",71,"30,672.79",75,"28,479.03",-4,"2,193.76",14,"6,515.54",MAG,MERKEZ
10A0010,MF 3/8 FİLTRE MAG,1001121,14,"1,999.74",42,"6,361.15",42,"6,215.97",0,145.18,14,"2,144.92",MAG,MERKEZ
10A0011,MF 1/2 FİLTRE MAG,1001131,17,"9,671.43",129,"93,653.89",134,"94,533.75",-5,-879.86,12,"8,791.57",MAG,MERKEZ
10A0012,MF 1/2 FİLTRE OTO. TAHLİYELİ MAG,1001132,2,819.89,6,"2,595.94",6,"2,536.76",0,59.18,2,879.06,MAG,MERKEZ
10A0907,F   1      FİLTRE MAG (KAPALI KAVANOZLU),30001022,0,0.01,0,0,0,0,0,0,0,0.01,MAG,MERKEZ
10A0926,MF 1/2 FİLTRE MANOMETRE DELİKLİ MAG,30001025,3,405.48,2,279.57,5,685.05,-3,-405.48,0,-0.01,MAG,MERKEZ
10A1246,M(FR) -1/4 FİLTRE-REGÜLATÖR MAG + MANOMETRESİZ,1004113,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10A1269,MF 1/4 FİLTRE+ PANO BAĞLANTILI  MAG,MF 1/4 FİLTRE+ PANO BAĞLANTILI  MAG,0,0,5,"2,826.95",5,"2,826.95",0,0,0,0,MAG,MERKEZ
10B0041,R -1/4 0-16 BAR REGÜLATÖR  MAG,1002001,11,"6,563.14",240,"172,870.39",238,"168,633.16",2,"4,237.22",13,"10,800.37",MAG,MERKEZ
10B0042,"R -1/2 P1= 16 BAR (P2=0,5-10)BAR REGÜLATÖR  MAG",1002002,22,"14,942.43",249,"206,808.50",254,"207,038.71",-5,-230.22,17,"14,712.21",MAG,MERKEZ
10B0043,R -1   0-16 BAR REGÜLATÖR  MAG,1002003,8,"16,120.80",111,"252,036.59",114,"256,082.03",-3,"-4,045.45",5,"12,075.35",MAG,MERKEZ
10B0044,R -1/4 MANOMETRESİZ MAG,1002011,0,0.01,0,0,0,0,0,0,0,0.01,MAG,MERKEZ
10B0045,R -1/4 REGÜLATÖR MAG (3 BAR),1002012,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10B0046,R -1/2 REGÜLATÖR MAG (3 BAR),1002021,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10B0049,R -1/2 MANOMETRESİZ MAG,1002024,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10B0053,R -3/4 REGÜLATOR MAG,1002033,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10B0056,MR-1/4 REGÜLATÖR MAG,1002111,96,"58,583.73",641,"479,732.28",689,"495,659.44",-48,"-15,927.16",48,"42,656.57",MAG,MERKEZ
10B0057,MR-1/4 MANOMETRESİZ MAG,1002112,3,"1,187.68",37,"22,439.82",35,"20,248.75",2,"2,191.07",5,"3,378.76",MAG,MERKEZ
10B0059,MR-3/8 REGÜLATÖR MAG,1002121,14,"4,203.83",57,"30,839.37",55,"24,652.66",2,"6,186.71",16,"10,390.54",MAG,MERKEZ
10B0060,MR 1/2 REGÜLATÖR MAG,1002131,8,"7,106.97",117,"118,777.80",124,"124,792.87",-7,"-6,015.06",1,"1,091.91",MAG,MERKEZ
10B0061,MR-1/2  MANOMETRESİZ,1002133,3,571.48,0,0,3,571.48,-3,-571.48,0,0,MAG,MERKEZ
10B0062,FR 1/4 M.SİZ   ( KİLİTSİZ ),30001010 AKSA,1,537.62,13,"10,460.09",14,"10,997.70",-1,-537.61,0,0.01,MAG,MERKEZ
10B0116,FR- 1/4 (KİLİTSİZ) 0-4 BAR     MAG,AKSA,0,0,11,"8,964.55",11,"8,964.55",0,0,0,0,MAG,MERKEZ
10B0725,R-1/2 0-16 BAR REG. TAHLİYESİZ MAG,30001016,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10B0737,R -1   REGÜLATÖR MAG (15 BAR ÇIKIŞ),30001019,0,0,4,"9,439.64",4,"9,439.64",0,0,0,0,MAG,MERKEZ
10B1133,"R -1/4 0,5-16 BAR ÇIKIŞ BAS. REGÜLATÖR  MAG",30001033,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10B1208,"R -1/2 GİRİŞ 0-16 BAR (ÇIKIŞ-0,5-16)BAR REGÜLATÖR  MAG",MAG,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10C0117,Y -1/4 YAĞLAYICI MAG,1003001,16,"2,170.23",48,"6,904.24",48,"6,746.66",0,157.58,16,"2,327.81",MAG,MERKEZ
10C0118,Y -1/2 YAĞLAYICI MAG,1003002,30,"18,804.06",618,"447,938.51",628,"451,182.61",-10,"-3,244.10",20,"15,559.96",MAG,MERKEZ
10C0119,Y -1   YAĞLAYICI MAG,1003003,10,"11,644.46",75,"104,436.19",82,"111,196.44",-7,"-6,760.26",3,"4,884.21",MAG,MERKEZ
10C0121,Y -3/4 YAĞLAYICI MAG,1003031,0,0,0,0,0,0,0,0,0,0,MAG,MERKEZ
10C0122,MY-1/4 YAĞLAYICI MAG,1003111,15,"3,298.51",23,"5,341.76",33,"7,460.85",-10,"-2,119.09",5,"1,179.42",MAG,MERKEZ
10C0123,MY-3/8 YAĞLAYICI MAG,1003121,12,"1,258.72",23,"2,555.25",28,"3,026.38",-5,-471.14,7,787.58,MAG,MERKEZ
10C0124,MY-1/2 YAĞLAYICI MAG,1003131,13,"9,296.70",63,"52,480.62",64,"51,381.95",-1,"1,098.67",12,"10,395.36",MAG,MERKEZ
10D0143,FR - 1/4 FİLTRE-REGÜLATÖR,1004001,11,"4,798.98",46,"38,145.79",49,"36,361.46",-3,"1,784.33",8,"6,583.31",MAG,MERKEZ
10D0144,M(FR) -1/4 FİLTRE-REGÜLATÖR MAG,1004111,22,"18,523.15",207,"204,658.03",214,"208,050.16",-7,"-3,392.12",15,"15,131.03",MAG,MERKEZ
10D0145,M(FR)- 3/8 FİLTRE+REGÜLATÖR MAG,1004211,12,"8,945.83",27,"25,512.17",33,"28,288.26",-6,"-2,776.08",6,"6,169.74",MAG,MERKEZ
10D0146,M(FR)-1/2 FİLTRE REGÜLATÖR MAG,1004311,11,"11,442.51",210,"289,921.62",210,"284,482.03",0,"5,439.59",11,"16,882.11",MAG,MERKEZ
